,Refugio,Estado,Municipio,Dirección,Uso del Inmueble,Capacidad personas,Capacidad Familias,Latitud,Longitud,Altitud,gla,mla,sla,glo,mlo,glo,latitude,longitude
94,CLUB DEPORTIVO PELIKANOS.,SINALOA,ROSARIO,"CALLE 20 DE NOVIEMBRE Y JUAN CARRASCO, CD. DE EL ROSARIO.",EVENTOS SOCIALES,750,185,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
95,ESC. PREPARATORIA U.A.S.,SINALOA,ROSARIO,"CALLEJÓN HACIENDA VIEJA Y VENUSTIANO CARRANZA, CD. DE EL ROSARIO.",EDUCATIVO,787,195,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
96,SOCIEDAD MUTUALISTA MIGUEL HIDALGO (CLUB MIGUEL HIDALGO),SINALOA,ROSARIO,"CALLE MIGUEL HIDALGO No. 25, COL. CENTRO, CD. DE EL ROSARIO.",EVENTOS SOCIALES,"1,200",300,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
97,ESC. PREPARATORIA CBTIS #45.,SINALOA,SALVADOR ALVARADO,"Carretera a Mocorito Km 1.6 Col. Emiliano Zapata, Cd. de Guamuchil.",EDUCATIVO,400,100,"25°27'35.17""","108° 3'46.32""",68,25,27,35.17,108, 3,46.32,25.45976944,-108.0628667
98,UNIVERSIDAD DE OCCIDENTE (U. DE O.).,SINALOA,SALVADOR ALVARADO,"Blv. Lazaro Cárdenas y José María Vigil Col Magisterio, Cd. de Guamuchil.",EDUCATIVO,350,87,"25°27'21.00""","108° 3'54.29""",62,25,27,21.00,108, 3,54.29,25.45583333,-108.0650806
99,ESC. PREPARATORIA UAS.,SINALOA,SALVADOR ALVARADO,"16 de Septiembre y Boulevard Labastida Ochoa, Col Morelos, Cd. de Guamuchil.",EDUCATIVO,350,87,"25°27'4.18""","108° 4'22.70""",56,25,27,4.18,108, 4,22.70,25.45116111,-108.0729722
100,JARDIN DE NIÑOS FEDERICO FROEBEL.,SINALOA,SALVADOR ALVARADO,"Morelos y Matamoros #26 ote., Col. Centro, Cd. de Guamuchil.",EDUCATIVO,140,35,"25°27'35.52""","108° 4'48.42""",48,25,27,35.52,108, 4,48.42,25.45986667,-108.0801167
101,ESC. SECUNDARIA TÉCNICA AGRÍCOLA # 25 (ETI 25).,SINALOA,SALVADOR ALVARADO,"Margarita Maza de Juárez, Sind. de Benito Juárez.",EDUCATIVO,120,30,"25°29'4.54""","108° 9'45.66""",37,25,29,4.54,108, 9,45.66,25.48459444,-108.1626833
102,ESC. PRIMARIA EMILIANO ZAPATA.,SINALOA,SAN IGNACIO,"DOM. CONOCIDO, CD. DE SAN IGNACIO.",EDUCATIVO,300,75,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
103,ESC. PRIMARIA JOSEFA ORTIZ DE DOMÍNGUEZ.,SINALOA,SAN IGNACIO,"DOM. CONOCIDO, CD. DE SAN IGNACIO.",EDUCATIVO,350,86,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104,ESC. PRIMARIA BENITO JUÁREZ,SINALOA,SAN IGNACIO,"DOM. CONOCIDO, POBLADO DE COYOTITAN.",EDUCATIVO,300,75,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
105,ESC. PRIMARIA JOSÉ MARÍA MORELOS.,SINALOA,SAN IGNACIO,"DOM. CONOCIDO, POBLADO DE ESTACION DIMAS.",EDUCATIVO,450,112,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
106,ESC. PRIMARIA MIGUEL HIDALGO.,SINALOA,SAN IGNACIO,"DOM. CONOCIDO, POBLADO DE PIAXTLA DE ARRIBA.",EDUCATIVO,300,75,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
107,ESC. PRIMARIA RICARDO LOAIZA.,SINALOA,SAN IGNACIO,"DOM. CONOCIDO, POBLADO DE CAMINO REAL",EDUCATIVO,200,50,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
108,DIF MUNICIPAL.,SINALOA,SINALOA,"C. MIGUEL HIDALGO E IGNACIO ALLENDE S/N, COLONIA CENTRO, CD. DE SINALOA DE LEYVA.",SOCIAL,300,75,"25°49'15.63""","108°13'24.21""",69,25,49,15.63,108,13,24.21,25.82100833,-108.2233917
109,HACIENDA DE SAN FELIPE Y SANTIAGO.,SINALOA,SINALOA,"DOM. CONOCIDO, MALECÓN, CD. DE SINALOA DE LEYVA.",EVENTOS SOCIALES,200,50,"25°49'6.67""","108°13'29.96""",63,25,49,6.67,108,13,29.96,25.81851944,-108.2249889
110,ESCUELA PRIMARIA VENUSTIANO CARRANZA.,SINALOA,SINALOA,"DOM. CONOCIDO, CALLE PRINCIPAL PAVIMENTADA, POBLADO DE BABURÍA, SINDICATURA CENTRAL.",EDUCATIVO,300,75,"25°50'21.42""","108°12'26.64""",65,25,50,21.42,108,12,26.64,25.83928333,-108.2074
111,ESCUELA PRIMARIA MÁRTIRES DE CANANEA.,SINALOA,SINALOA,"DOM. CONOCIDO, POR LA ORILLA DE LA CARRETERA A MAQUIPO, POBLADO ""COLONIA 6 DE MAYO"".",EDUCATIVO,200,50,"25°41'54.51""","108°18'40.93""",43,25,41,54.51,108,18,40.93,25.698475,-108.3113694
112,ESCUELA PRIMARIA IGNACIO RAMÍREZ.,SINALOA,SINALOA,"DOMICILIO CONOCIDO, POBLADO DE MAQUIPO.",EDUCATIVO,200,50,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
113,CASA EJIDAL,SINALOA,SINALOA,"DOMICILIO CONOCIDO, POBLADO DE MAQUIPO.",PÚBLICO,200,50,"25°40'50.96""","108°17'39.18""",40,25,40,50.96,108,17,39.18,25.68082222,-108.2942167
