,Refugio,Estado,Municipio,Dirección,Uso del Inmueble,Capacidad personas,Capacidad Familias,Latitud,Longitud,Altitud,gla,mla,sla,glo,mlo,glo,latitude,longitude
24,ESC. PRIMARIA BENITO JUÁREZ.,SINALOA,CONCORDIA,"C. VICENTE GUERRERO, CD. DE CONCORDIA.",EDUCATIVO.,300,75,"23°17'27.54""","106° 3'59.54""",129,23,17,27.54,106, 3,59.54,23.29098333,-106.0665389
25,ESC. MIGUEL HIDALGO.,SINALOA,CONCORDIA,"CAMINO A LA AGÜITA CALIENTE, CD. DE CONCORDIA.",EDUCATIVO.,200,50,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26,ESC. PRIMARIA GRAL. EMILIANO ZAPATA.,SINALOA,CONCORDIA,"CALLE MARGARITA MAZA DE JUÁREZ, CD. DE CONCORDIA.",EDUCATIVO.,200,50,"23°17'4.97""","106° 3'41.96""",118,23,17,4.97,106, 3,41.96,23.28471389,-106.0616556
27,ESC. PRIMARIA JOSEFA ORTIZ DE DOMÍNGUEZ.,SINALOA,CONCORDIA,"CALLE ISIDRO PERAZA, CD. DE CONCORDIA.",EDUCATIVO.,600,150,"23°17'18.66""","106° 3'55.15""",128,23,17,18.66,106, 3,55.15,23.28851667,-106.0653194
28,ESC. SECUNDARIA VENUSTIANO CARRANZA.,SINALOA,CONCORDIA,"CALLE ÁNGEL FLORES S/N, CD. DE CONCORDIA.",EDUCATIVO.,700,175,"23°17'29.75""","106° 3'51.87""",134,23,17,29.75,106, 3,51.87,23.29159722,-106.0644083
29,ESC. PREPARATORIA UAS.,SINALOA,CONCORDIA,"CARRETERA FED. No. 40 MAZATLÁN-DURANGO, CD. DE CONCORDIA.",EDUCATIVO.,1000,250,"23°17'23.49""","106° 3'21.85""",119,23,17,23.49,106, 3,21.85,23.28985833,-106.0560694
30,ESC. PREPARATORIA COBAES.,SINALOA,CONCORDIA,"CARRETERA A TEPUXTLA, CD. DE CONCORDIA.",EDUCATIVO.,700,175,"23°17'31.38""","106° 3'47.13""",133,23,17,31.38,106, 3,47.13,23.29205,-106.0630917
31,ESCUELA PRIMARIA VENUSTIANO CARRANZA.,SINALOA,COSALÁ,"ANTONIO ROSALES, COL. CENTRO, CD. DE COSALÁ.",EDUCATIVO,500,125,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32,ESCUELA PRIMARIA BENITO JUÁREZ.,SINALOA,COSALÁ,"PUEBLO DE ALAYÁ, SIND. DE ALAYÁ.",EDUCATIVO,50,12,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33,SECUNDARIA No. 14.,SINALOA,COSALÁ,"SANTA CRUZ DE ALAYÁ, SINDICATURA.",EDUCATIVO,50,12,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34,TELESECUNDARIA 138.,SINALOA,COSALÁ,"CHAPALA, SIND. DE SANTA CRUZ DE ALAYÁ.",EDUCATIVO,50,12,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35,TELESECUNDARIA No. 21 R.,SINALOA,COSALÁ,"SAN MIGUEL DE LAS MESAS, SIND. DE SANTA CRUA DE ALAYÁ.",EDUCATIVO,50,12,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36,POLIDEPORTIVO U.A.S.,SINALOA,CULIACÁN,"C. Josefa O. de Domínguez, Complejo C.U. (Ciudad Universitaria), Cd. de Culiacán.",Deportivo,382,95,"24°49'25.79""","107°22'48.40""",53,24,49,25.79,107,22,48.40,24.82383056,-107.3801111
37,Universidad de Occidente,SINALOA,CULIACÁN,"Blvd. Lola Beltrán y Blvd. Enrique Sánchez Alonso, 4 de Marzo, Cd. de Culiacán.",Educativo,665,165,"24°48'46.20""","107°25'57.50""",44,24,48,46.20,107,25,57.50,24.81283333,-107.4326389
38,Parque Ernesto Millan Gimnasio de Karate y Polideportivo,SINALOA,CULIACÁN,"México 68 y Av. Alvaro Obregón, República Mexicana, Cd. de Culiacán.",Deportivo,369,92,"24°46'30.93""","107°23'27.14""",95,24,46,30.93,107,23,27.14,24.77525833,-107.3908722
39,DIF Vallado,SINALOA,CULIACÁN,"Puerto Barrios y Ensenada, entre Puerto Escondido y la Paz, Vallado, Cd. de Culiacán.",Social,186,46,"24°47'20.93""","107°25'0.18""",49,24,47,20.93,107,25,0.18,24.78914722,-107.4167167
40,Esc. Primaria Gral. Ángel Flores y Esc. Prim. Guadalupe Victoria (La Escuelona).,SINALOA,CULIACÁN,"Matamoros # 73
 Cd. de Eldorado, Mpio. de Eldorado. Nota: Las dos escuelas comparten las mismas instalaciones.",Educativo,800,200,"24°19'8.02""","107°21'44.76""",11,24,19,8.02,107,21,44.76,24.31889444,-107.3624333
,,,,,,,,,,,#ERROR!,#N/A,#N/A,#N/A,#N/A,#N/A,#ERROR!,#N/A
41,Esc. Primaria Antonio Rosales.,SINALOA,CULIACÁN,"Calle Morelos, Col. Centro, Cd. de Costa Rica.",Educativo,600,150,"24°35'32.46""","107°23'33.29""",28,24,35,32.46,107,23,33.29,24.59235,-107.3925806
42,Esc. Preparatoria UAS El Fuerte.,SINALOA,EL FUERTE,"Carretera El Fuerte- El Mahone, Km 0.1, Cd. de El Fuerte.",Educativo,400,100,"26°25'34.03""","108°36'56.77""",79,26,25,34.03,108,36,56.77,26.42611944,-108.6157694
43,Esc. Primaria José Rentería.,SINALOA,EL FUERTE,"Calle Álvaro Obregón, Colonia Centro, Cd. de El Fuerte.",Educativo,300,75,"26°24'54.44""","108°37'5.08""",85,26,24,54.44,108,37,5.08,26.41512222,-108.6180778
44,Escuela Secundaria Ignacio Ramírez.,SINALOA,EL FUERTE,"Calle Álvaro Obregón, Col. Pablo Macías, Cd. de El Fuerte.",Educativo,400,100,"26°24'44.18""","108°37'1.12""",86,26,24,44.18,108,37,1.12,26.41227222,-108.6169778
