Habilitado?,refugio,direccion,estado,clave_edo,municipio,clave_mun,clave_inegi,direccion,uso del inmuble,personas,familias,latitud,longitud,altitud,hora_lat,min_lat,seg_lat,hora_lon,min_lon,seg_lon,latitud,longitud,localidad,servicios,telefono
,CBTIS 188,"Plan de San Luis 433A, Luis Echeverría, Russo Vogel, 85199 Cd Obregón, Son., Mexico",Sonora,26,Cajeme,18,26018,"PLAN DE IGUALA Y EJERCITO NACIONAL, COL. RUSSO VOGEL",ESCUELA,800,200,"27°27'20.27""","109°56'50.96""",34,27,27,20.27,109,56,50.96,27.45563056,-109.9474889,,,
,ESC. PRIM. GRAL. LÁZARO CÁRDENAS,"Calle 1400, Quetchehueca, Son., Mexico",Sonora,26,Cajeme,18,26018,"LÁZARO CÁRDENAS Y EMILIANO ZAPATA S/N, COL. QUETCHEHUECA",ESCUELA,450,112.5,"27°15'44.70""","109°56'53.06""",27,27,15,44.70,109,56,53.06,27.26241667,-109.9480722,,,
,ESC. SEC. BENITO JUÁREZ No. 23,,Sonora,26,Cajeme,18,26018,"EMILIANO ZAPATA Y LÁZARO CÁRDENAS, COL. PUEBLO YAQUI",ESCUELA,250,62.5,"27°21'14.24""","109°02'16.75""",24,27,21,14.24,109,2,16.75,27.35395556,-109.0379861,,,
,CBTA No. 38,"20 de Noviembre 216, Tobarito, 85204 Marte R. Gómez, Son., Mexico",Sonora,26,Cajeme,18,26018,"20 DE NOV. S/N, COL. TOBARITO",ESCUELA,800,200,"27°22'04.06""","109°53'41.32""",35,27,22,04.06,109,53,41.32,27.36779444,-109.8948111,,,
,ESC. PRIM. RUFFO E. VITTELA,"Álvaro Obregón 101, Esperanza, 85210 Esperanza, Son., Mexico",Sonora,26,Cajeme,18,26018,"NIÑOS HEROES Y BENITO JUÁREZ, COL. ESPERANZA",ESCUELA,400,100,"27°34'51.61""","109°55'39.96""",34,27,34,51.61,109,55,39.96,27.58100278,-109.9277667,,,
,"GIMNACIO MUNICIPAL ""MANUEL LIRA GARCIA""","Guadalupe Victoria 12, Campestre, 85160 Cd Obregón, Son., Mexico",Sonora,26,Cajeme,18,26018,AV. RODOLFO ELIAS CALLE Y CALLE COAHUILA,GIMNACIO,1500,375,27°28'55.79,"109°56'26.38""",37,27,28,55.79,109,56,26.38,27.48216389,-109.9406611,,,
,CENTRO DE USOS MULTIPLES (CUM),"Calle Sufragio Efectivo 130, Centro, Fundo Legal, 85000 Cd Obregón, Son., Mexico",Sonora,26,Cajeme,18,26018,SUFRAGIO EFECTIVO Y GUERRERO,CUM,15000,3750,27°29'38.07,"109°55'40.11""",37,27,29,38.07,109,55,40.11,27.49390833,-109.9278083,,,
,"HABITAD ""COMBATE""","Ocotlán 49, XX Cafe Combate, 83165 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,OCOTLAN Y JALOSTITLAN,CAM,80-100,25,29°06'20.74'',110°55'10.77'',248,29,6,20.74,110,55,10.77,29.10576111,-110.9196583,,,
,ALBERGUE CASA AMIGA,"Calle Jesús García 100, Centro, 83000 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,JESUS GARCIA # 100,CAM,80 -100,25,29°04'46.74'',110°56'55.07'',223,29,4,46.74,110,56,55.07,29.07965,-110.9486306,,,
,"HABITAD ""OLIVOS""","Calle Alamo Blanco 419, 83284 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,ALAMO BLANCO Y HORTENSIA,SALON,80-100,25,29°01'56.61'',110°58'40.46'',213,29,1,56.61,110,58,40.46,29.03239167,-110.9779056,,,
,"HABITAD ""MINITAS""","Biznaga LB, Palo Verde, 83280 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,CASIMIRA ESTRADA Y MINA LA BONANCITA,CAM,80-100,25,29°02'37.82'',110°59'06.78'',192,29,2,37.82,110,59,6.78,29.04383889,-110.9852167,,,
,"HABITAT ""SOLIDARIDAD""","Sierra Maycoba, Norberto Ortega, 83116 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,SIERRA SUR Y MAYCOBA,SALON,80-100,25,29008’14.05”,111000’06.83,234,29,8,14.05,111,0,6.83,29.13723611,-111.0018972,,,
,"HABITAD ""INTERNACIONAL""","Av. Prof.ª Rosario Padre de Carpio 1474, Internacional, 83170 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,CABO GRANDE Y ROSARIO P. DE CARPIO,SALON,50-70,15,29°06’38.00”,111°01’13.10”,205,29,6,38,111,1,13.1,29.11055556,-111.0203056,,,
,ESTACION DE BOMBEROS CENTRO,"Calz de Castilla, Real de Quiroga, 83220 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,"MATAMOROS Y NUEVO LEON , COL. CENTRO",EDIFICIO,15,4,29005’21.82”,111001’13.10”,217,29,5,21.82,111,1,13.1,29.08939444,-111.0203056,,,
,ESTACION DE BOMBEROS NORTE,"Calle López del Castillo, Villas del Cortijo, 83106 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,BLVD. PROGRESO ENTRE LOPEZ DEL CASTILLO Y OLIVARES ESQ.,EDIFICIO,30-40,10,29008’36.88”,110059’10.48”,255,29,8,36.88,110,59,10.48,29.14357778,-110.9862444,,,
,ESTACION DE BOMBEROS SUR,"Blvrd Cimarrón 52, Nuevo Hermosillo, 83296 Hermosillo, Son., Mexico",Sonora,26,Hermosillo,30,26030,"BLVD. CIMARRON Y HORIZONTE, COL. NUEVO HILLO.",EDIFICIO,30-40,10,29001’10.49”,110056’03.92”,250,29,1,10.49,110,56,3.92,29.01958056,-110.9344222,,,
,"HABITAD ""MIGUEL ALEMAN""","Rosario Ibarra, Las Palmas, 83116 Miguel Alemán, Son., Mexico",Sonora,26,Hermosillo,30,26030,ROSARIO I. DE PIEDRA Y JOSE MA. MORELOS CIOL. LUIS DONALDO COLOSIO,EDIFICIO,80-100,22,28050’51.57”,111030’00.64”,60,28,50,51.57,111,30,0.64,28.84765833,-111.5001778,,,
,"ESTACION BOMBEROS ""MIGUEL ALEMAN""","Ricardo Flores Magón SN-S, Aguayo Porchas, 83345 Miguel Alemán, Son., Mexico",Sonora,26,Hermosillo,30,26030,FLORES MAGON # 10 ENTRE 13 DE SEPTIEMBRE,EDIFICIO,15,4,28050’31.16”,111029’17.88”,62,28,50,31.16,111,29,17.88,28.84198889,-111.4883,,,
,ESTACION DE BOMBEROS BAHIA DE KINO,"Av Salina Cruz 30, Centro, Bahía de Kino, Son., Mexico",Sonora,26,Hermosillo,30,26030,"SALINA CRUZ ENTRE BLVD. ACAPULCO Y BLVD. FCO. KINO, COL. CENTRO",EDIFICIO,15,4,28049’24.19”,111056’23.49”,1,28,49,24.19,111,56,23.49,28.82338611,-111.9398583,,,
,"ESCUELA PRIMARIA ""LÁZARO CÁRDENAS""(BAHIA DE KINO)","Bv. Padre Francisco Eusebio Kino, Centro, Bahía de Kino, Son., Mexico",Sonora,26,Hermosillo,30,26030,BLVD. KINO Y SALINA CRUZ,ESCUELA,250-270,80,28049’26.85”,111056’25.82”,1,28,49,26.85,111,56,25.82,28.824125,-111.9405056,,,
,SALON PARROQUIAL,"Av. Puerto Vallarta 103, Burro Lindo, Bahía de Kino, Son., Mexico",Sonora,26,Hermosillo,30,26030,ACAPULCO Y PUERTO BALLARTA ESQ. BAHIA DE KINO,SALON,30-40,10,28049’29.07”,111056’16.03”,2,28,49,29.07,111,56,16.03,28.82474167,-111.9377861,,,
